FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
1389412|Aang Beach|Beach|GU|66|Guam|010|131511N|1444042E|13.2530556|144.6783333|||||0|0|Merizo|02/06/1981|
1389413|Aba Beach|Beach|GU|66|Guam|010|131518N|1444022E|13.255|144.6727778|||||0|0|Merizo|02/06/1981|
1389414|Abac|Area|GU|66|Guam|010|132426N|1444553E|13.4072222|144.7647222|||||69|226|Talofofo|02/06/1981|
1389415|Abo Cove|Bay|GU|66|Guam|010|132504N|1444006E|13.4177778|144.6683333|||||3|10|Apra Harbor|02/06/1981|
1389416|Abong Beach|Beach|GU|66|Guam|010|131911N|1443857E|13.3197222|144.6491667|||||0|0|Agat|02/06/1981|
1389417|Acapulco|Ridge|GU|66|Guam|010|132029N|1444351E|13.3413889|144.7308333|||||48|157|Talofofo|02/06/1981|
1389418|Achae Point|Summit|GU|66|Guam|010|133824N|1445056E|13.64|144.8488889|||||17|56|Ritidian Point|02/06/1981|
1389419|Achang Bay|Bay|GU|66|Guam|010|131509N|1444058E|13.2525|144.6827778|||||0|0|Merizo|02/06/1981|
1389420|Achang Reef|Bar|GU|66|Guam|010|131442N|1444132E|13.245|144.6922222|||||0|0|Merizo|02/06/1981|
1389421|Acho|Area|GU|66|Guam|010|131537N|1444358E|13.2602778|144.7327778|||||29|95|Inarajan|02/06/1981|
1389422|Acho Point|Cape|GU|66|Guam|010|131528N|1444404E|13.2577778|144.7344444|||||6|20|Inarajan|02/06/1981|
1389423|Achugao Point|Summit|GU|66|Guam|010|132007N|1443831E|13.3352778|144.6419444|||||0|0|Agat|02/06/1981|
1389424|Achugao Valley|Valley|GU|66|Guam|010|131958N|1443850E|13.3327778|144.6472222|131958N|1443850E|13.3327778|144.6472222|0|0|Agat|02/06/1981|
1389425|Adacao|Populated Place|GU|66|Guam|010|132922N|1445111E|13.4894444|144.8530556|||||137|449|Dededo|02/06/1981|
1389426|Adae|Area|GU|66|Guam|010|131952N|1444527E|13.3311111|144.7575|||||62|203|Talofofo|02/06/1981|
1389427|Adaique|Valley|GU|66|Guam|010|131718N|1444447E|13.2883333|144.7463889|131718N|1444447E|13.2883333|144.7463889|50|164|Inarajan|02/06/1981|
1389428|Adaumang|Area|GU|66|Guam|010|131627N|1444411E|13.2741667|144.7363889|||||50|164|Inarajan|02/06/1981|
1389429|Adelup|Populated Place|GU|66|Guam|010|132831N|1444338E|13.4752778|144.7272222|||||82|269|Hagatna|02/06/1981|
1389430|Adelup Point|Summit|GU|66|Guam|010|132847N|1444336E|13.4797222|144.7266667|||||0|0|Hagatna|02/06/1981|
1389431|Adelup Reservoir|Reservoir|GU|66|Guam|010|132810N|1444346E|13.4694444|144.7294444|||||122|400|Hagatna|02/06/1981|
1389432|Adelup School|School|GU|66|Guam|010|132843N|1444337E|13.4786111|144.7269444|||||0|0|Hagatna|02/06/1981|
1389433|Adjoulan Point|Cape|GU|66|Guam|010|132012N|1444605E|13.3366667|144.7680556|||||0|0|Talofofo|02/06/1981|
1389434|Adotgan Point|Summit|GU|66|Guam|010|132643N|1443730E|13.4452778|144.625|||||45|148|Apra Harbor|02/06/1981|
1389435|Afami|Populated Place|GU|66|Guam|010|132721N|1444531E|13.4558333|144.7586111|||||28|92|Hagatna|02/06/1981|
1389436|Aftano|Area|GU|66|Guam|010|131647N|1444513E|13.2797222|144.7536111|||||12|39|Inarajan|02/06/1981|
1389437|Aga|Area|GU|66|Guam|010|131450N|1444320E|13.2472222|144.7222222|||||1|3|Inarajan|02/06/1981|
1389438|Aga Bay|Bay|GU|66|Guam|010|131443N|1444320E|13.2452778|144.7222222|||||0|0|Inarajan|02/06/1981|
1389439|Aga Point|Cape|GU|66|Guam|010|131443N|1444328E|13.2452778|144.7244444|||||0|0|Inarajan|02/06/1981|
